Country Name,Country Code,Indicator Name,Indicator Code,Attribute,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,193,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,1.762780156,2.449888641,2.487922705,2.012136932,2.267095508,2.358873301,2.523535309,2.523535309,2.523535309
Japan,158,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,-0.036960983,0.357530518,2.73880424,1.011027232,0.876235569,1.753196265,1.276182797,1.205672839,1.453061066
New Zealand,196,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,1.059917802,1.134417808,1.227513228,0.832850613,2.115644597,1.989274729,2.014443243,2.014443243,2.014443243
"China, P.R.: Mainland",924,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,2.646286,2.624015,1.988427,1.2,1.5,2,2.5,3,3
"China, P.R.: Hong Kong",532,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,4.072647221,4.328775402,4.424330196,3.2,3.4,3.5,3.5,3.5,3.5
"Korea, Republic of",542,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,2.187324734,1.301552454,1.274767802,1.549936185,2.5,3,3,3,3
Taiwan Province of China,528,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,1.931634473,0.793001962,1.195555195,0.7,1.3,1.5,1.8,2,2
South Asia,9502,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,10.00421785,9.500865422,6.260011613,5.873224899,5.617511847,5.585661232,5.263806181,5.07056597,5.080206517
Bangladesh,513,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,6.22878866,7.538914322,7.008838665,6.4,6.45,6.45,6.325,6.175,5.925
India,534,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,10.24948212,9.991013806,5.993124884,6.086803153,5.745326186,5.622808807,5.220025787,4.997055984,5.027431419
Sri Lanka,524,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,7.542913732,6.911546529,3.267776821,1.69964024,3.43266958,4.317186226,5,5,5
Nepal,558,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,8.309690092,9.863482948,9.042138567,7.102769194,6.330091265,6.1,5.95,5.85,5.75
ASEAN,511,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,3.842382928,4.65013691,4.674179682,4.091229275,4.217200565,3.859076164,3.883192189,3.891059172,3.887544426
Brunei Darussalam,516,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,0.108171077,0.382345607,-0.240125859,0,0.099601594,0.1,0.2,0.097517204,0.1
Cambodia,522,"Prices, Consumer Price Index, All items, CPI (p.a.), percent change",PCPI_PC_PP_PT,Value,2.924872424,2.955010616,3.851713829,-0.307318307,2.460129206,3.016203982,3.041595691,2.917948399,3.165391536
